,PassengerId,Ticket,Fare,Cabin,Embarked,Pclass
165,166,363291,20.525,,S,3
166,167,113505,55,E33,S,1
167,168,347088,27.9,,S,3
168,169,PC 17318,25.925,,S,1
169,170,1601,56.4958,,S,3
170,171,111240,33.5,B19,S,1
171,172,382652,29.125,,Q,3
172,173,347742,11.1333,,S,3
173,174,STON/O 2. 3101280,7.925,,S,3
174,175,17764,30.6958,A7,C,1
175,176,350404,7.8542,,S,3
176,177,4133,25.4667,,S,3
177,178,PC 17595,28.7125,C49,C,1
178,179,250653,13,,S,2
179,180,LINE,0,,S,3
180,181,CA. 2343,69.55,,S,3
181,182,SC/PARIS 2131,15.05,,C,2
182,183,347077,31.3875,,S,3
183,184,230136,39,F4,S,2
184,185,315153,22.025,,S,3
185,186,113767,50,A32,S,1
186,187,370365,15.5,,Q,3
187,188,111428,26.55,,S,1
188,189,364849,15.5,,Q,3
189,190,349247,7.8958,,S,3
190,191,234604,13,,S,2
191,192,28424,13,,S,2
192,193,350046,7.8542,,S,3
193,194,230080,26,F2,S,2
194,195,PC 17610,27.7208,B4,C,1
195,196,PC 17569,146.5208,B80,C,1
196,197,368703,7.75,,Q,3
197,198,4579,8.4042,,S,3
198,199,370370,7.75,,Q,3
199,200,248747,13,,S,2
200,201,345770,9.5,,S,3
201,202,CA. 2343,69.55,,S,3
202,203,3101264,6.4958,,S,3
203,204,2628,7.225,,C,3
204,205,A/5 3540,8.05,,S,3
205,206,347054,10.4625,G6,S,3
206,207,3101278,15.85,,S,3
207,208,2699,18.7875,,C,3
208,209,367231,7.75,,Q,3
209,210,112277,31,A31,C,1
210,211,SOTON/O.Q. 3101311,7.05,,S,3
211,212,F.C.C. 13528,21,,S,2
212,213,A/5 21174,7.25,,S,3
213,214,250646,13,,S,2
214,215,367229,7.75,,Q,3
215,216,35273,113.275,D36,C,1
216,217,STON/O2. 3101283,7.925,,S,3
217,218,243847,27,,S,2
218,219,11813,76.2917,D15,C,1
219,220,W/C 14208,10.5,,S,2
220,221,SOTON/OQ 392089,8.05,,S,3
221,222,220367,13,,S,2
222,223,21440,8.05,,S,3
223,224,349234,7.8958,,S,3
224,225,19943,90,C93,S,1
225,226,PP 4348,9.35,,S,3
226,227,SW/PP 751,10.5,,S,2
227,228,A/5 21173,7.25,,S,3
228,229,236171,13,,S,2
229,230,4133,25.4667,,S,3
230,231,36973,83.475,C83,S,1
231,232,347067,7.775,,S,3
232,233,237442,13.5,,S,2
233,234,347077,31.3875,,S,3
234,235,C.A. 29566,10.5,,S,2
235,236,W./C. 6609,7.55,,S,3
236,237,26707,26,,S,2
237,238,C.A. 31921,26.25,,S,2
238,239,28665,10.5,,S,2
239,240,SCO/W 1585,12.275,,S,2
240,241,2665,14.4542,,C,3
241,242,367230,15.5,,Q,3
242,243,W./C. 14263,10.5,,S,2
243,244,STON/O 2. 3101275,7.125,,S,3
244,245,2694,7.225,,C,3
245,246,19928,90,C78,Q,1
246,247,347071,7.775,,S,3
247,248,250649,14.5,,S,2
248,249,11751,52.5542,D35,S,1
249,250,244252,26,,S,2
250,251,362316,7.25,,S,3
251,252,347054,10.4625,G6,S,3
252,253,113514,26.55,C87,S,1
253,254,A/5. 3336,16.1,,S,3
254,255,370129,20.2125,,S,3
255,256,2650,15.2458,,C,3
256,257,PC 17585,79.2,,C,1
257,258,110152,86.5,B77,S,1
258,259,PC 17755,512.3292,,C,1
259,260,230433,26,,S,2
260,261,384461,7.75,,Q,3
261,262,347077,31.3875,,S,3
262,263,110413,79.65,E67,S,1
263,264,112059,0,B94,S,1
264,265,382649,7.75,,Q,3
265,266,C.A. 17248,10.5,,S,2
266,267,3101295,39.6875,,S,3
267,268,347083,7.775,,S,3
268,269,PC 17582,153.4625,C125,S,1
269,270,PC 17760,135.6333,C99,S,1
270,271,113798,31,,S,1
271,272,LINE,0,,S,3
272,273,250644,19.5,,S,2
273,274,PC 17596,29.7,C118,C,1
274,275,370375,7.75,,Q,3
275,276,13502,77.9583,D7,S,1
276,277,347073,7.75,,S,3
277,278,239853,0,,S,2
278,279,382652,29.125,,Q,3
279,280,C.A. 2673,20.25,,S,3
280,281,336439,7.75,,Q,3
281,282,347464,7.8542,,S,3
282,283,345778,9.5,,S,3
283,284,A/5. 10482,8.05,,S,3
284,285,113056,26,A19,S,1
285,286,349239,8.6625,,C,3
286,287,345774,9.5,,S,3
287,288,349206,7.8958,,S,3
288,289,237798,13,,S,2
289,290,370373,7.75,,Q,3
290,291,19877,78.85,,S,1
291,292,11967,91.0792,B49,C,1
292,293,SC/Paris 2163,12.875,D,C,2
293,294,349236,8.85,,S,3
294,295,349233,7.8958,,S,3
295,296,PC 17612,27.7208,,C,1
296,297,2693,7.2292,,C,3
297,298,113781,151.55,C22 C26,S,1
298,299,19988,30.5,C106,S,1
299,300,PC 17558,247.5208,B58 B60,C,1
300,301,9234,7.75,,Q,3
301,302,367226,23.25,,Q,3
302,303,LINE,0,,S,3
303,304,226593,12.35,E101,Q,2
304,305,A/5 2466,8.05,,S,3
305,306,113781,151.55,C22 C26,S,1
306,307,17421,110.8833,,C,1
307,308,PC 17758,108.9,C65,C,1
308,309,P/PP 3381,24,,C,2
309,310,PC 17485,56.9292,E36,C,1
310,311,11767,83.1583,C54,C,1
311,312,PC 17608,262.375,B57 B59 B63 B66,C,1
312,313,250651,26,,S,2
313,314,349243,7.8958,,S,3
314,315,F.C.C. 13529,26.25,,S,2
315,316,347470,7.8542,,S,3
316,317,244367,26,,S,2
317,318,29011,14,,S,2
318,319,36928,164.8667,C7,S,1
319,320,16966,134.5,E34,C,1
320,321,A/5 21172,7.25,,S,3
321,322,349219,7.8958,,S,3
322,323,234818,12.35,,Q,2
323,324,248738,29,,S,2
324,325,CA. 2343,69.55,,S,3
325,326,PC 17760,135.6333,C32,C,1
326,327,345364,6.2375,,S,3
327,328,28551,13,D,S,2
328,329,363291,20.525,,S,3
329,330,111361,57.9792,B18,C,1
330,331,367226,23.25,,Q,3
331,332,113043,28.5,C124,S,1
332,333,PC 17582,153.4625,C91,S,1
333,334,345764,18,,S,3
334,335,PC 17611,133.65,,S,1
335,336,349225,7.8958,,S,3
336,337,113776,66.6,C2,S,1
337,338,16966,134.5,E40,C,1
338,339,7598,8.05,,S,3
339,340,113784,35.5,T,S,1
340,341,230080,26,F2,S,2
341,342,19950,263,C23 C25 C27,S,1
342,343,248740,13,,S,2
343,344,244361,13,,S,2
344,345,229236,13,,S,2
345,346,248733,13,F33,S,2
346,347,31418,13,,S,2
347,348,386525,16.1,,S,3
348,349,C.A. 37671,15.9,,S,3
349,350,315088,8.6625,,S,3
350,351,7267,9.225,,S,3
351,352,113510,35,C128,S,1
352,353,2695,7.2292,,C,3
353,354,349237,17.8,,S,3
354,355,2647,7.225,,C,3
355,356,345783,9.5,,S,3
356,357,113505,55,E33,S,1
357,358,237671,13,,S,2
358,359,330931,7.8792,,Q,3
359,360,330980,7.8792,,Q,3
360,361,347088,27.9,,S,3
361,362,SC/PARIS 2167,27.7208,,C,2
362,363,2691,14.4542,,C,3
363,364,SOTON/O.Q. 3101310,7.05,,S,3
364,365,370365,15.5,,Q,3
365,366,C 7076,7.25,,S,3
366,367,110813,75.25,D37,C,1
367,368,2626,7.2292,,C,3
368,369,14313,7.75,,Q,3
369,370,PC 17477,69.3,B35,C,1
370,371,11765,55.4417,E50,C,1
371,372,3101267,6.4958,,S,3
372,373,323951,8.05,,S,3
373,374,PC 17760,135.6333,,C,1
374,375,349909,21.075,,S,3
375,376,PC 17604,82.1708,,C,1
376,377,C 7077,7.25,,S,3
377,378,113503,211.5,C82,C,1
378,379,2648,4.0125,,C,3
379,380,347069,7.775,,S,3
380,381,PC 17757,227.525,,C,1
381,382,2653,15.7417,,C,3
382,383,STON/O 2. 3101293,7.925,,S,3
383,384,113789,52,,S,1
384,385,349227,7.8958,,S,3
385,386,S.O.C. 14879,73.5,,S,2
386,387,CA 2144,46.9,,S,3
387,388,27849,13,,S,2
388,389,367655,7.7292,,Q,3
389,390,SC 1748,12,,C,2
390,391,113760,120,B96 B98,S,1
391,392,350034,7.7958,,S,3
392,393,3101277,7.925,,S,3
393,394,35273,113.275,D36,C,1
394,395,PP 9549,16.7,G6,S,3
395,396,350052,7.7958,,S,3
396,397,350407,7.8542,,S,3
397,398,28403,26,,S,2
398,399,244278,10.5,,S,2
399,400,240929,12.65,,S,2
400,401,STON/O 2. 3101289,7.925,,S,3
401,402,341826,8.05,,S,3
402,403,4137,9.825,,S,3
403,404,STON/O2. 3101279,15.85,,S,3
404,405,315096,8.6625,,S,3
405,406,28664,21,,S,2
406,407,347064,7.75,,S,3
407,408,29106,18.75,,S,2
408,409,312992,7.775,,S,3
409,410,4133,25.4667,,S,3
410,411,349222,7.8958,,S,3
411,412,394140,6.8583,,Q,3
412,413,19928,90,C78,Q,1
413,414,239853,0,,S,2
414,415,STON/O 2. 3101269,7.925,,S,3
415,416,343095,8.05,,S,3
416,417,28220,32.5,,S,2
417,418,250652,13,,S,2
418,419,28228,13,,S,2
419,420,345773,24.15,,S,3
420,421,349254,7.8958,,C,3
421,422,A/5. 13032,7.7333,,Q,3
422,423,315082,7.875,,S,3
423,424,347080,14.4,,S,3
424,425,370129,20.2125,,S,3
425,426,A/4. 34244,7.25,,S,3
426,427,2003,26,,S,2
427,428,250655,26,,S,2
428,429,364851,7.75,,Q,3
429,430,SOTON/O.Q. 392078,8.05,E10,S,3
430,431,110564,26.55,C52,S,1
431,432,376564,16.1,,S,3
432,433,SC/AH 3085,26,,S,2
433,434,STON/O 2. 3101274,7.125,,S,3
434,435,13507,55.9,E44,S,1
435,436,113760,120,B96 B98,S,1
436,437,W./C. 6608,34.375,,S,3
437,438,29106,18.75,,S,2
438,439,19950,263,C23 C25 C27,S,1
439,440,C.A. 18723,10.5,,S,2
440,441,F.C.C. 13529,26.25,,S,2
441,442,345769,9.5,,S,3
442,443,347076,7.775,,S,3
443,444,230434,13,,S,2
444,445,65306,8.1125,,S,3
445,446,33638,81.8583,A34,S,1
446,447,250644,19.5,,S,2
447,448,113794,26.55,,S,1
448,449,2666,19.2583,,C,3
449,450,113786,30.5,C104,S,1
450,451,C.A. 34651,27.75,,S,2
451,452,65303,19.9667,,S,3
452,453,113051,27.75,C111,C,1
453,454,17453,89.1042,C92,C,1
454,455,A/5 2817,8.05,,S,3
455,456,349240,7.8958,,C,3
456,457,13509,26.55,E38,S,1
457,458,17464,51.8625,D21,S,1
458,459,F.C.C. 13531,10.5,,S,2
459,460,371060,7.75,,Q,3
460,461,19952,26.55,E12,S,1
461,462,364506,8.05,,S,3
462,463,111320,38.5,E63,S,1
463,464,234360,13,,S,2
464,465,A/S 2816,8.05,,S,3
465,466,SOTON/O.Q. 3101306,7.05,,S,3
466,467,239853,0,,S,2
467,468,113792,26.55,,S,1
468,469,36209,7.725,,Q,3
469,470,2666,19.2583,,C,3
470,471,323592,7.25,,S,3
471,472,315089,8.6625,,S,3
472,473,C.A. 34651,27.75,,S,2
473,474,SC/AH Basle 541,13.7917,D,C,2
474,475,7553,9.8375,,S,3
475,476,110465,52,A14,S,1
476,477,31027,21,,S,2
477,478,3460,7.0458,,S,3
478,479,350060,7.5208,,S,3
479,480,3101298,12.2875,,S,3
480,481,CA 2144,46.9,,S,3
481,482,239854,0,,S,2
482,483,A/5 3594,8.05,,S,3
483,484,4134,9.5875,,S,3
484,485,11967,91.0792,B49,C,1
485,486,4133,25.4667,,S,3
486,487,19943,90,C93,S,1
487,488,11771,29.7,B37,C,1
488,489,A.5. 18509,8.05,,S,3
489,490,C.A. 37671,15.9,,S,3
490,491,65304,19.9667,,S,3
491,492,SOTON/OQ 3101317,7.25,,S,3
492,493,113787,30.5,C30,S,1
493,494,PC 17609,49.5042,,C,1
494,495,A/4 45380,8.05,,S,3
495,496,2627,14.4583,,C,3
496,497,36947,78.2667,D20,C,1
497,498,C.A. 6212,15.1,,S,3
498,499,113781,151.55,C22 C26,S,1
499,500,350035,7.7958,,S,3
500,501,315086,8.6625,,S,3
501,502,364846,7.75,,Q,3
502,503,330909,7.6292,,Q,3
503,504,4135,9.5875,,S,3
504,505,110152,86.5,B79,S,1
505,506,PC 17758,108.9,C65,C,1
506,507,26360,26,,S,2
507,508,111427,26.55,,S,1
508,509,C 4001,22.525,,S,3
509,510,1601,56.4958,,S,3
510,511,382651,7.75,,Q,3
511,512,SOTON/OQ 3101316,8.05,,S,3
512,513,PC 17473,26.2875,E25,S,1
513,514,PC 17603,59.4,,C,1
514,515,349209,7.4958,,S,3
515,516,36967,34.0208,D46,S,1
516,517,C.A. 34260,10.5,F33,S,2
517,518,371110,24.15,,Q,3
518,519,226875,26,,S,2
519,520,349242,7.8958,,S,3
520,521,12749,93.5,B73,S,1
521,522,349252,7.8958,,S,3
522,523,2624,7.225,,C,3
523,524,111361,57.9792,B18,C,1
524,525,2700,7.2292,,C,3
525,526,367232,7.75,,Q,3
526,527,W./C. 14258,10.5,,S,2
527,528,PC 17483,221.7792,C95,S,1
528,529,3101296,7.925,,S,3
529,530,29104,11.5,,S,2
530,531,26360,26,,S,2
531,532,2641,7.2292,,C,3
532,533,2690,7.2292,,C,3
533,534,2668,22.3583,,C,3
534,535,315084,8.6625,,S,3
535,536,F.C.C. 13529,26.25,,S,2
536,537,113050,26.55,B38,S,1
537,538,PC 17761,106.425,,C,1
538,539,364498,14.5,,S,3
539,540,13568,49.5,B39,C,1
540,541,WE/P 5735,71,B22,S,1
541,542,347082,31.275,,S,3
542,543,347082,31.275,,S,3
543,544,2908,26,,S,2
544,545,PC 17761,106.425,C86,C,1
545,546,693,26,,S,1
546,547,2908,26,,S,2
547,548,SC/PARIS 2146,13.8625,,C,2
548,549,363291,20.525,,S,3
549,550,C.A. 33112,36.75,,S,2
550,551,17421,110.8833,C70,C,1
551,552,244358,26,,S,2
552,553,330979,7.8292,,Q,3
553,554,2620,7.225,,C,3
554,555,347085,7.775,,S,3
555,556,113807,26.55,,S,1
556,557,11755,39.6,A16,C,1
557,558,PC 17757,227.525,,C,1
558,559,110413,79.65,E67,S,1
559,560,345572,17.4,,S,3
560,561,372622,7.75,,Q,3
561,562,349251,7.8958,,S,3
562,563,218629,13.5,,S,2
563,564,SOTON/OQ 392082,8.05,,S,3
564,565,SOTON/O.Q. 392087,8.05,,S,3
565,566,A/4 48871,24.15,,S,3
566,567,349205,7.8958,,S,3
567,568,349909,21.075,,S,3
568,569,2686,7.2292,,C,3
569,570,350417,7.8542,,S,3
570,571,S.W./PP 752,10.5,,S,2
571,572,11769,51.4792,C101,S,1
572,573,PC 17474,26.3875,E25,S,1
573,574,14312,7.75,,Q,3
574,575,A/4. 20589,8.05,,S,3
575,576,358585,14.5,,S,3
576,577,243880,13,,S,2
577,578,13507,55.9,E44,S,1
578,579,2689,14.4583,,C,3
579,580,STON/O 2. 3101286,7.925,,S,3
580,581,237789,30,,S,2
581,582,17421,110.8833,C68,C,1
582,583,28403,26,,S,2
583,584,13049,40.125,A10,C,1
584,585,3411,8.7125,,C,3
585,586,110413,79.65,E68,S,1
586,587,237565,15,,S,2
587,588,13567,79.2,B41,C,1
588,589,14973,8.05,,S,3
589,590,A./5. 3235,8.05,,S,3
590,591,STON/O 2. 3101273,7.125,,S,3
591,592,36947,78.2667,D20,C,1
592,593,A/5 3902,7.25,,S,3
593,594,364848,7.75,,Q,3
594,595,SC/AH 29037,26,,S,2
595,596,345773,24.15,,S,3
596,597,248727,33,,S,2
597,598,LINE,0,,S,3
598,599,2664,7.225,,C,3
599,600,PC 17485,56.9292,A20,C,1
600,601,243847,27,,S,2
601,602,349214,7.8958,,S,3
602,603,113796,42.4,,S,1
603,604,364511,8.05,,S,3
604,605,111426,26.55,,C,1
605,606,349910,15.55,,S,3
606,607,349246,7.8958,,S,3
607,608,113804,30.5,,S,1
608,609,SC/Paris 2123,41.5792,,C,2
609,610,PC 17582,153.4625,C125,S,1
610,611,347082,31.275,,S,3
611,612,SOTON/O.Q. 3101305,7.05,,S,3
612,613,367230,15.5,,Q,3
613,614,370377,7.75,,Q,3
614,615,364512,8.05,,S,3
615,616,220845,65,,S,2
616,617,347080,14.4,,S,3
617,618,A/5. 3336,16.1,,S,3
618,619,230136,39,F4,S,2
619,620,31028,10.5,,S,2
620,621,2659,14.4542,,C,3
621,622,11753,52.5542,D19,S,1
622,623,2653,15.7417,,C,3
623,624,350029,7.8542,,S,3
624,625,54636,16.1,,S,3
625,626,36963,32.3208,D50,S,1
626,627,219533,12.35,,Q,2
627,628,13502,77.9583,D9,S,1
628,629,349224,7.8958,,S,3
629,630,334912,7.7333,,Q,3
630,631,27042,30,A23,S,1
631,632,347743,7.0542,,S,3
632,633,13214,30.5,B50,C,1
633,634,112052,0,,S,1
634,635,347088,27.9,,S,3
635,636,237668,13,,S,2
636,637,STON/O 2. 3101292,7.925,,S,3
637,638,C.A. 31921,26.25,,S,2
638,639,3101295,39.6875,,S,3
639,640,376564,16.1,,S,3
640,641,350050,7.8542,,S,3
641,642,PC 17477,69.3,B35,C,1
642,643,347088,27.9,,S,3
643,644,1601,56.4958,,S,3
644,645,2666,19.2583,,C,3
645,646,PC 17572,76.7292,D33,C,1
646,647,349231,7.8958,,S,3
647,648,13213,35.5,A26,C,1
648,649,S.O./P.P. 751,7.55,,S,3
649,650,CA. 2314,7.55,,S,3
650,651,349221,7.8958,,S,3
651,652,231919,23,,S,2
652,653,8475,8.4333,,S,3
653,654,330919,7.8292,,Q,3
654,655,365226,6.75,,Q,3
655,656,S.O.C. 14879,73.5,,S,2
656,657,349223,7.8958,,S,3
657,658,364849,15.5,,Q,3
658,659,29751,13,,S,2
659,660,35273,113.275,D48,C,1
660,661,PC 17611,133.65,,S,1
661,662,2623,7.225,,C,3
662,663,5727,25.5875,E58,S,1
663,664,349210,7.4958,,S,3
664,665,STON/O 2. 3101285,7.925,,S,3
665,666,S.O.C. 14879,73.5,,S,2
666,667,234686,13,,S,2
667,668,312993,7.775,,S,3
668,669,A/5 3536,8.05,,S,3
669,670,19996,52,C126,S,1
670,671,29750,39,,S,2
671,672,F.C. 12750,52,B71,S,1
672,673,C.A. 24580,10.5,,S,2
673,674,244270,13,,S,2
674,675,239856,0,,S,2
675,676,349912,7.775,,S,3
676,677,342826,8.05,,S,3
677,678,4138,9.8417,,S,3
678,679,CA 2144,46.9,,S,3
679,680,PC 17755,512.3292,B51 B53 B55,C,1
680,681,330935,8.1375,,Q,3
681,682,PC 17572,76.7292,D49,C,1
682,683,6563,9.225,,S,3
683,684,CA 2144,46.9,,S,3
684,685,29750,39,,S,2
685,686,SC/Paris 2123,41.5792,,C,2
686,687,3101295,39.6875,,S,3
687,688,349228,10.1708,,S,3
688,689,350036,7.7958,,S,3
689,690,24160,211.3375,B5,S,1
690,691,17474,57,B20,S,1
691,692,349256,13.4167,,C,3
692,693,1601,56.4958,,S,3
693,694,2672,7.225,,C,3
694,695,113800,26.55,,S,1
695,696,248731,13.5,,S,2
696,697,363592,8.05,,S,3
697,698,35852,7.7333,,Q,3
698,699,17421,110.8833,C68,C,1
699,700,348121,7.65,F G63,S,3
700,701,PC 17757,227.525,C62 C64,C,1
701,702,PC 17475,26.2875,E24,S,1
702,703,2691,14.4542,,C,3
703,704,36864,7.7417,,Q,3
704,705,350025,7.8542,,S,3
705,706,250655,26,,S,2
706,707,223596,13.5,,S,2
707,708,PC 17476,26.2875,E24,S,1
708,709,113781,151.55,,S,1
709,710,2661,15.2458,,C,3
710,711,PC 17482,49.5042,C90,C,1
711,712,113028,26.55,C124,S,1
712,713,19996,52,C126,S,1
713,714,7545,9.4833,,S,3
714,715,250647,13,,S,2
715,716,348124,7.65,F G73,S,3
716,717,PC 17757,227.525,C45,C,1
717,718,34218,10.5,E101,S,2
718,719,36568,15.5,,Q,3
719,720,347062,7.775,,S,3
720,721,248727,33,,S,2
721,722,350048,7.0542,,S,3
722,723,12233,13,,S,2
723,724,250643,13,,S,2
724,725,113806,53.1,E8,S,1
725,726,315094,8.6625,,S,3
726,727,31027,21,,S,2
727,728,36866,7.7375,,Q,3
728,729,236853,26,,S,2
729,730,STON/O2. 3101271,7.925,,S,3
730,731,24160,211.3375,B5,S,1
731,732,2699,18.7875,,C,3
732,733,239855,0,,S,2
733,734,28425,13,,S,2
734,735,233639,13,,S,2
735,736,54636,16.1,,S,3
736,737,W./C. 6608,34.375,,S,3
737,738,PC 17755,512.3292,B101,C,1
738,739,349201,7.8958,,S,3
739,740,349218,7.8958,,S,3
740,741,16988,30,D45,S,1
741,742,19877,78.85,C46,S,1
742,743,PC 17608,262.375,B57 B59 B63 B66,C,1
743,744,376566,16.1,,S,3
744,745,STON/O 2. 3101288,7.925,,S,3
745,746,WE/P 5735,71,B22,S,1
746,747,C.A. 2673,20.25,,S,3
747,748,250648,13,,S,2
748,749,113773,53.1,D30,S,1
749,750,335097,7.75,,Q,3
750,751,29103,23,,S,2
751,752,392096,12.475,E121,S,3
752,753,345780,9.5,,S,3
753,754,349204,7.8958,,S,3
754,755,220845,65,,S,2
755,756,250649,14.5,,S,2
756,757,350042,7.7958,,S,3
757,758,29108,11.5,,S,2
758,759,363294,8.05,,S,3
759,760,110152,86.5,B77,S,1
760,761,358585,14.5,,S,3
761,762,SOTON/O2 3101272,7.125,,S,3
762,763,2663,7.2292,,C,3
763,764,113760,120,B96 B98,S,1
764,765,347074,7.775,,S,3
765,766,13502,77.9583,D11,S,1
766,767,112379,39.6,,C,1
767,768,364850,7.75,,Q,3
768,769,371110,24.15,,Q,3
769,770,8471,8.3625,,S,3
770,771,345781,9.5,,S,3
771,772,350047,7.8542,,S,3
772,773,S.O./P.P. 3,10.5,E77,S,2
773,774,2674,7.225,,C,3
774,775,29105,23,,S,2
